date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-03-19,3,0.6648009450776167,0.0,0.33519905492238333,0.3360687557351747,2024-03-05,,0.2666666666666666,-0.0018657215890499623
2024-03-20,3,0.6692701789078253,0.0,0.3307298210921748,0.3513911863406072,2024-03-05,,0.2666666666666666,0.002603512241158623
2024-03-21,3,0.6798686207819267,0.0,0.32013137921807316,0.3481283920094655,2024-03-05,,0.2666666666666666,0.01320195411526004
2024-03-22,3,0.6791800482420178,0.0,0.32081995175798217,0.3471173994675606,2024-03-05,,0.2666666666666666,0.012513381575351201
2024-03-25,3,0.6696588594852281,0.0,0.3303411405147718,0.3411546612810396,2024-03-05,,0.2666666666666666,0.0029921928185614455
2024-03-26,3,0.6442689824677714,0.0,0.3557310175322286,0.3557310175322286,2024-03-05,,0.2666666666666666,-0.022397684198895207
2024-03-27,3,0.6432266046317221,0.0,0.35677339536827773,0.35677339536827773,2024-03-05,,0.2666666666666666,-0.02344006203494453
2024-03-28,3,0.6056767111110881,0.0,0.39432328888891177,0.39432328888891177,2024-03-05,,0.2666666666666666,-0.06098995555557851
2024-03-29,3,0.6117043663052171,0.0,0.38829563369478287,0.38829563369478287,2024-03-05,,0.2666666666666666,-0.054962300361449556
2024-04-01,3,0.5978410451606808,0.0,0.4021589548393192,0.4021589548393192,2024-03-05,,0.2666666666666666,-0.06882562150598581
2024-04-02,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-04-02,cap,0.2666666666666666,0.0
2024-04-03,3,0.6620915110311386,0.0,0.33790848896886144,0.33790848896886144,2024-04-02,,0.2666666666666666,-0.0045751556355280165
2024-04-04,3,0.6808025097673785,0.0,0.3191974902326215,0.3413476508581116,2024-04-02,,0.2666666666666666,0.01413584310071192
2024-04-05,3,0.6792800924093209,0.0,0.3207199075906792,0.34185886547752414,2024-04-02,,0.2666666666666666,0.012613425742654227
2024-04-08,3,0.6835148441918057,0.0,0.3164851558081942,0.34549219705862777,2024-04-02,,0.2666666666666666,0.01684817752513912
2024-04-09,3,0.6827012252641005,0.0,0.3172987747358996,0.34165970310561106,2024-04-02,,0.2666666666666666,0.016034558597433857
2024-04-11,3,0.6725966706168627,0.0,0.3274033293831374,0.3399728829824047,2024-04-02,,0.2666666666666666,0.00593000395019605
