날짜,PR,TR
2022-12-14,1666.4600985657157,1744.5339654092759
2022-12-15,1640.3203119808784,1717.1695265096905
2022-12-16,1627.804906412123,1704.0677726036968
2022-12-19,1629.751079450008,1706.1051240950865
2022-12-20,1603.9642780969216,1679.1102078301008
2022-12-21,1594.2897802783532,1668.9824585624785
2022-12-22,1618.9233921809252,1694.7701583050252
2022-12-23,1581.0799727383219,1655.1537698648385
2022-12-26,1571.6827187815852,1645.3162533691159
2022-12-27,1577.7756415108968,1651.6946303005807
2022-12-28,1542.3143423392416,1614.5719647679728
2022-12-29,1506.5610613046922,1608.4657949954465
2023-01-02,1504.6377285129824,1606.4123667691924
2023-01-03,1522.1952033609093,1625.1574402114375
2023-01-04,1619.283662853033,1728.8130239065606
2023-01-05,1612.676984045327,1721.7594652067796
2023-01-06,1644.368641969791,1755.594766720581
2023-01-09,1683.720608553702,1797.6085249689256
2023-01-10,1699.442768240499,1814.3941413831512
2023-01-11,1705.727945080919,1821.1044515212338
2023-01-12,1700.212993417273,1815.2164650732466
2023-01-13,1697.7369993524278,1812.5729932192307
2023-01-16,1705.4740902949347,1820.833425838546
2023-01-17,1705.9005325169524,1821.2887128795262
2023-01-18,1698.6830700827927,1813.5830567662872
2023-01-19,1711.4424152029362,1827.2054519810683
2023-01-20,1719.6478914757583,1835.9659518077738
2023-01-25,1786.5795118026324,1907.4248688503842
2023-01-26,1801.085832749544,1922.9124064309233
2023-01-27,1802.9913654858533,1924.9468305948822
2023-01-30,1788.7384085451924,1909.7297947206494
2023-01-31,1766.2942512480686,1885.767500567993
2023-02-01,1792.653170826412,1913.909353974243
2023-02-02,1832.4421066514094,1956.389638336799
2023-02-03,1831.2845025270233,1955.1537331444742
2023-02-06,1806.3348087953486,1928.516426503708
2023-02-07,1839.7827436707591,1964.22680064131
2023-02-08,1876.4478871961855,2003.371997436835
2023-02-09,1879.4021403889476,2006.5260781656962
2023-02-10,1877.9331584306233,2004.957733347741
2023-02-13,1864.579547703664,1990.700876028332
2023-02-14,1878.1678686893488,2005.208319555357
2023-02-15,1873.9167881301998,2000.6696932448908
2023-02-16,1889.8525538100125,2017.6833640952734
2023-02-17,1847.1777970642602,1972.1220600775987
2023-02-20,1854.3685520744125,1979.7992022599444
2023-02-21,1844.7451820137328,1969.5249014215956
2023-02-22,1824.351517916863,1947.7517971134075
2023-02-23,1867.965012352734,1994.3153356264577
2023-02-24,1854.7638244912107,1980.2212111505598
2023-02-27,1848.982938222983,1974.0493021147915
2023-02-28,1842.2166131131462,1966.8252985370234
2023-03-02,1824.2256083339212,1947.617370927423
2023-03-03,1811.035556763768,1933.5351360086179
2023-03-06,1848.8535387991258,1973.9111500328668
2023-03-07,1849.6846257731252,1974.7984522502668
2023-03-08,1828.845572299516,1952.5498321489656
2023-03-09,1804.2063504640062,1926.243997917858
2023-03-10,1757.8886834554555,1876.7933749057877
2023-03-13,1767.078717724715,1886.6050288484023
2023-03-14,1704.7305125492994,1820.0395520285203
2023-03-15,1695.393589687726,1810.0710738572168
2023-03-16,1716.6367337911056,1832.7511175315533
2023-03-17,1813.2582567343675,1935.9081807972243
2023-03-20,1802.5341011729015,1924.4586366374342
2023-03-21,1790.821128315262,1911.9533909602974
2023-03-22,1837.5195970457476,1961.8105733612565
2023-03-23,1867.9240293083183,1994.2715804632517
2023-03-24,2005.4141631895668,2141.0616331052715
2023-03-27,2011.5148924522348,2147.5750195159303
2023-03-28,2056.99824177021,2196.134891066332
2023-03-29,2042.6915320443707,2180.860466534868
2023-03-30,2070.5120649376827,2210.5627976960664
2023-03-31,2053.84845167107,2192.7720471922885
2023-04-03,2035.1871258005044,2172.8484575529314
2023-04-04,1958.695253074445,2091.182626651618
2023-04-05,1976.2352212963638,2109.9090093087084
2023-04-06,1958.7616662711384,2091.253532078528
2023-04-07,2055.489652545914,2194.5242599221306
2023-04-10,2059.2974774758586,2198.5896485150383
2023-04-11,2112.96581974064,2255.8881510611304
2023-04-12,2071.605381665566,2211.730067052128
2023-04-13,2058.558428183383,2197.8006094655807
2023-04-14,2038.556717140116,2176.4459701610067
2023-04-17,2041.9567488440207,2180.075982138679
2023-04-18,2034.66061125359,2172.2863292323277
2023-04-19,2050.246654633758,2188.9266223477
2023-04-20,2071.705406419123,2211.836857542658
2023-04-21,2102.027485253483,2244.2099407789833
2023-04-24,2037.7293868910597,2175.562678775778
2023-04-25,2013.301884221783,2149.4828845278994
2023-04-26,2070.7561836566224,2210.823428758038
2023-04-27,2084.9953350111605,2226.025725227657
2023-04-28,2067.135044602749,2206.957353590774
2023-05-02,2101.972005936732,2244.1507088065023
2023-05-03,2159.106793102112,2305.150128757177
2023-05-04,2100.4569805656383,2242.533206170503
2023-05-08,2103.056348123857,2245.308396578248
2023-05-09,2083.682190027437,2224.6237582948597
2023-05-10,2058.813411852985,2198.0728403902813
2023-05-11,2032.5409549136364,2170.0232980100755
2023-05-12,2035.551379450421,2173.2373495478473
2023-05-15,2010.2753897032162,2146.251676024713
2023-05-16,2058.752102984586,2198.007384551628
2023-05-17,2080.0215327219357,2220.715491836678
2023-05-18,2140.975546227546,2285.7924729890783
2023-05-19,2337.538957814847,2495.6515568366217
2023-05-22,2352.056801505349,2511.1513965663444
2023-05-23,2362.5117309750867,2522.313504012955
2023-05-24,2360.4582103206353,2520.1210819353914
2023-05-25,2433.5099444652205,2598.1140811271466
2023-05-26,2491.0462901683877,2659.5422212865856
2023-05-30,2523.422568206741,2694.108451047532
2023-05-31,2479.7296834317067,2647.460152183058
2023-06-01,2481.647695788444,2649.507900096786
2023-06-02,2475.78963203954,2643.253593247215
2023-06-05,2440.4420580686074,2605.515087235996
2023-06-07,2422.3867886767616,2586.238548115131
2023-06-08,2454.8355592606576,2620.8821738628003
2023-06-09,2540.5619882040714,2712.407192147274
2023-06-12,2521.431416488916,2691.982616580528
2023-06-13,2567.7204858443424,2741.402707576307
2023-06-14,2558.571427376478,2731.6348010639554
2023-06-15,2645.888714651256,2824.858284333624
2023-06-16,2647.111010492399,2826.163257030941
2023-06-19,2617.0336599521197,2794.0514556637722
2023-06-20,2680.525006270465,2861.837396409399
2023-06-21,2607.6474912243307,2784.030400605021
2023-06-22,2604.3850617382295,2780.5472983453396
2023-06-23,2647.1484461361642,2826.2032248450946
2023-06-26,2665.629871562131,2845.9347454611147
2023-06-27,2646.6111757789886,2825.6296131844865
2023-06-28,2647.4200103853163,2826.4931578701294
2023-06-29,2670.448065699707,2851.0788452676143
2023-06-30,2659.278466237496,2839.1537271026673
2023-07-03,2719.9820933298915,2903.9633855480542
2023-07-04,2731.845721473558,2916.629476929115
2023-07-05,2688.421876343449,2870.268415719639
2023-07-06,2617.671064409225,2794.731974557538
2023-07-07,2583.908550596113,2758.6857431658786
2023-07-10,2554.324653265943,2727.100772492983
2023-07-11,2649.4697221866404,2828.681513461354
2023-07-12,2704.596746643153,2887.5373643761445
2023-07-13,2969.186028928124,3170.0236314174635
2023-07-14,3179.906587495224,3394.997460532623
2023-07-17,3250.533005254325,3470.401093419692
2023-07-18,3240.396164733272,3459.5785906574624
2023-07-19,3059.4408801793893,3266.383377330677
2023-07-20,3116.900408779893,3327.7295044305206
2023-07-21,3066.8029597442874,3274.243432567946
2023-07-24,3123.1529164862477,3334.40493567385
2023-07-25,3087.5114913839993,3296.3527022567646
2023-07-26,3009.6561547748047,3213.2311819213733
2023-07-27,3179.024643373906,3394.0558611586093
2023-07-28,3232.3330642883957,3450.97009704887
2023-07-31,3225.8514173724575,3444.050027476319
2023-08-01,3396.849273174269,3626.6142853342694
2023-08-02,3218.658018122794,3436.3700621964454
2023-08-03,3207.3525483907047,3424.299883411475
2023-08-04,3149.3823805319275,3362.4085770941338
2023-08-07,3174.058902402508,3388.7542343580435
2023-08-08,3141.5093488154994,3354.0030085818144
2023-08-09,3139.86980406803,3352.2525640008394
2023-08-10,3127.145045529247,3338.667094825442
2023-08-11,3113.6143205475382,3324.221143132172
