ticker,name,fiscal_year,report_nm,rcept_no,rcept_dt,source_url,raw_sha256,raw_bytes,hbm_hits,status,disclosed_at,led_rcept_no,hbm_exposure,judgment_status,verdict,flag_zero_hbm
036930,주성엔지니어링,2023,사업보고서 (2023.12),20240318000865,20240318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000865,0E955F62FAA18AF69DA7CEC2A7808065D9892C69E9E41BD17843AA999D55E1B0,555218,0,OK,2024-03-18,20240318000865,0.0,FINAL,MATCH,False
036930,주성엔지니어링,2024,사업보고서 (2024.12),20250317000470,20250317,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000470,DF627C2F4B61D6A8FDAC7309B327AD6C300848B94598C02D237AABECBFE75D2A,629667,2,OK,2025-03-17,20250317000470,0.03,FINAL,MATCH,False
036930,주성엔지니어링,2025,사업보고서 (2025.12),20260318000323,20260318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000323,98544B75D2A68C8048BE7F4AC96721FE7863190AB0AFF484F5F459AD0FA43355,641573,2,OK,2026-03-18,20260318000323,0.03,FINAL,MATCH,False
039030,이오테크닉스,2019,사업보고서 (2019.12),20200330003030,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003030,33131F97B5B5718F1CE597621DF21D7553D126204F871E938661F66DCE0826DA,362669,0,OK,2020-03-30,20200330003030,0.0,FINAL,MATCH,False
039030,이오테크닉스,2020,사업보고서 (2020.12),20210318001314,20210318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318001314,2B90D8C5CE2923612994C6C1D6EE8C41A4C1492B3EAE5A9C1ADAEAB956A9CAA5,356305,0,OK,2021-03-18,20210318001314,0.0,FINAL,MATCH,False
039030,이오테크닉스,2021,사업보고서 (2021.12),20220321001425,20220321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001425,A8C83C13BD224CC3936D94548A66C7BF2377BBC35CDCF69D21DEC5A7D271C5CA,374289,0,OK,2022-03-21,20220321001425,0.0,FINAL,MATCH,False
039030,이오테크닉스,2022,사업보고서 (2022.12),20230321001354,20230321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001354,23C0641B84429114F642E7F0CCC1B228BB7BDEF37A0E848D7B2BD7F748DF2BE0,363738,0,OK,2023-03-21,20230321001354,0.0,FINAL,MATCH,False
039030,이오테크닉스,2023,사업보고서 (2023.12),20240320001082,20240320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001082,5599098073D556DABE21C940250C1C14EEDFA9F7F2E018A4A977213259405B59,361300,0,OK,2024-03-20,20240320001082,0.0,FINAL,MATCH,False
039030,이오테크닉스,2024,사업보고서 (2024.12),20250320001508,20250320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001508,61793D689940368BCFF1356BC09EA10A4170A95A500D5664A23D3EE267FB3198,436338,0,OK,2025-03-20,20250320001508,0.0,FINAL,MATCH,False
039030,이오테크닉스,2025,사업보고서 (2025.12),20260323001573,20260323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001573,DCF776498BBB7E9B73E3824FB7FD114A9F7F681D25012138EA76248AE624B8EA,475200,0,OK,2026-03-23,20260323001573,0.0,FINAL,MATCH,False
042700,한미반도체,2019,사업보고서 (2019.12),20200327001498,20200327,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200327001498,FD3C1816B450EC94F67E9592FF5ACC0D845B8E3BD5E80840704A59186216D7E7,384957,3,OK,2020-03-27,20200327001498,0.1,FINAL,MATCH,False
042700,한미반도체,2020,사업보고서 (2020.12),20210311000922,20210311,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210311000922,D9862F1C083B5B5F060422B5A5E09208C69682DF7CF0EF437432BA585D296C3B,383161,2,OK,2021-03-11,20210311000922,0.1,FINAL,MATCH,False
042700,한미반도체,2021,사업보고서 (2021.12),20220310001098,20220310,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220310001098,9EC49277901213CDB0B87C009E7A36C01B60A6CD3AADBB1D65E76E7CE2B5DB2C,405148,5,OK,2022-03-10,20220310001098,0.15,FINAL,MATCH,False
042700,한미반도체,2022,사업보고서 (2022.12),20230316001554,20230316,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001554,B4820280910A87F611D3F69E250774FDFD6A07FA29B70F149791B96F7C347AC0,414131,15,OK,2023-03-16,20230316001554,0.25,FINAL,MATCH,False
042700,한미반도체,2023,사업보고서 (2023.12),20240314001257,20240314,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001257,04009979ED7BFCA2DCC005D5D6FC39076A6331DE443036AFBA9F21075EC748A1,436165,20,OK,2024-03-14,20240314001257,0.35,FINAL,MATCH,False
042700,한미반도체,2024,사업보고서 (2024.12),20250313001171,20250313,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001171,EF71470A6A036CCD7BCAE44C4A018F9CA47E46B711EB21E9D25D7FE8CD10C0BE,526747,45,OK,2025-03-13,20250313001171,0.55,FINAL,MATCH,False
042700,한미반도체,2025,사업보고서 (2025.12),20260312001230,20260312,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260312001230,69EA17196490F629DE1628DAF28D2B7F7604D20A4D0D2488BCC23A212CC33801,469263,63,OK,2026-03-12,20260312001230,0.6,FINAL,MATCH,False
061970,LB세미콘,2019,사업보고서 (2019.12),20200330000279,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330000279,F9A90D27502D3223F3BF213ECB053980EF275D8BE44F9C0AC7203F2EAACA25F1,442332,0,OK,2020-03-30,20200330000279,0.0,FINAL,MATCH,False
061970,LB세미콘,2020,사업보고서 (2020.12),20210318000300,20210318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000300,A87967A233FEF97B2AD914A082EC9EA12EBCE2EC6EAD901479BD192AAF3EC2D6,434542,0,OK,2021-03-18,20210318000300,0.0,FINAL,MATCH,False
061970,LB세미콘,2021,사업보고서 (2021.12),20220318000595,20220318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000595,158AADF16EF1505D83C1D32A408FCDC2AB1005B6A6264DBBC1F1ADC3E1D943E9,439265,0,OK,2022-03-18,20220318000595,0.0,FINAL,MATCH,False
061970,LB세미콘,2022,사업보고서 (2022.12),20230317000109,20230317,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000109,E8A66645E1D20EB46DE16EC38A014CE6049B1C1E89ADC21135AB1F1C37597DED,433986,0,OK,2023-03-17,20230317000109,0.0,FINAL,MATCH,False
061970,LB세미콘,2023,사업보고서 (2023.12),20240319000011,20240319,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000011,3936C14FC21105CA38D94AB9548C9781A9A28EC5B1DD1BF5FD14585EE4CD4872,436669,0,OK,2024-03-19,20240319000011,0.0,FINAL,MATCH,False
061970,LB세미콘,2024,사업보고서 (2024.12),20250320000568,20250320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000568,06A4E7F3D54357823907ECF4CDBED61B8DD53E7F8A11EE707CB73820C4A2DEE1,495909,12,OK,2025-03-20,20250320000568,0.01,FINAL,MATCH,False
061970,LB세미콘,2025,사업보고서 (2025.12),20260320000806,20260320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320000806,68744D524A37BAE0EA5F1F727BEC5DD9C7A223924E143DBD7A469A051EA8D1F2,561308,15,OK,2026-03-20,20260320000806,0.02,FINAL,MATCH,False
064290,인텍플러스,2019,사업보고서 (2019.12),20200330001988,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330001988,CD7DA1803B40C29DB2694111A2FB780FCC849F1B58EA49491266223771A1B8CB,444092,0,OK,2020-03-30,20200330001988,0.0,FINAL,MATCH,False
064290,인텍플러스,2020,사업보고서 (2020.12),20210317000288,20210317,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000288,25DB0FF5E8491916D6628C4D44F8B90E134ED297F92D70898D643564C314292D,474180,0,OK,2021-03-17,20210317000288,0.0,FINAL,MATCH,False
064290,인텍플러스,2021,사업보고서 (2021.12),20220321001214,20220321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001214,9D56017CF81F45C4B518AB0C91B9D034EEE32140CF36551BA149F3806083E888,490151,0,OK,2022-03-21,20220321001214,0.0,FINAL,MATCH,False
064290,인텍플러스,2022,사업보고서 (2022.12),20230320000930,20230320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000930,E8666ED6DCBF327A5C8EA78D0A74E1B96EE404EFF0441DD39B1671158B542FF6,491547,0,OK,2023-03-20,20230320000930,0.0,FINAL,MATCH,False
